cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),4,70,0,0,485,230,9,True,87,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),5,114,0,0,470,235,10,True,100,1,True,False,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),6,872,0,0,285,199,12,False,35,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),7,1915,0,0,259,207,14,True,44,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),8,5930,0,0,407,211,19,True,64,1,True,False,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),10,8,0,0,449,233,9,True,100,1,True,False,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),12,3846,0,0,438,239,17,True,62,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),13,8,0,0,465,240,9,True,88,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),14,1,0,0,474,242,9,True,100,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),15,1034,0,0,472,241,12,False,31,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),25,10,0,0,491,215,10,True,100,1,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),26,15,0,0,489,216,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),28,125,0,0,483,225,11,True,59,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),30,43,0,0,473,231,10,False,7,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),31,1,0,0,487,231,10,True,100,1,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),32,48,0,0,468,233,10,False,23,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),33,184,0,0,466,237,11,True,97,2,True,False,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),34,203,0,0,457,240,12,False,42,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),35,221,0,0,413,245,12,True,100,1,True,False,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),37,259,0,0,426,267,12,True,22,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),41,183,0,0,291,197,13,False,22,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),42,207,0,0,426,198,13,True,66,1,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),45,1333,0,0,272,209,14,False,28,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),46,1155,0,0,230,211,15,True,9,0,True,True,True,inside_mesh
