cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1,3915571,9695,65535,81,54,11,True,25,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),2,74,10365,27535,54,42,2,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),3,64972,9458,58687,54,44,7,False,12,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),4,11,9687,12663,54,41,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),5,3813,9229,40991,60,42,5,True,26,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),6,492,12070,58591,103,45,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),7,114,10545,31855,103,48,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),8,29,11537,16735,94,53,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),11,1924,8832,26287,89,56,4,False,7,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),12,531,8612,25487,97,45,4,False,18,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),13,95,10180,29711,96,46,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),14,186,10034,31407,102,47,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),15,283,11226,37535,104,47,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),16,31,9999,22543,94,52,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),20,181,10439,30207,88,57,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),21,1397,9011,29615,63,40,5,False,2,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),22,379,9724,49503,61,41,4,False,35,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),23,120,9627,21119,56,42,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),24,12,12517,16767,55,42,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),27,13,9082,13367,100,46,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),30,695,9291,38431,102,47,4,False,1,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),31,22,8593,15031,103,48,3,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),33,7,17632,22847,85,56,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),34,13,12597,21711,86,57,3,True,77,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),35,23,10229,14511,86,57,3,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),36,139,10887,26447,87,58,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),37,405,9916,26591,86,59,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),38,9,7100,10839,63,39,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),39,78,10992,19599,61,42,4,False,9,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),40,144,9996,19919,101,43,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),41,1,9231,9231,51,43,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),42,25,9031,14991,99,44,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),43,14,10088,14255,49,44,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),45,73,7439,14311,103,48,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),46,2,18179,22975,93,50,4,True,100,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),47,95,7912,16119,100,51,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),48,42,13551,31503,84,54,4,False,38,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),49,363,10617,34175,84,56,4,False,1,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),50,22,12163,21103,84,57,4,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),51,223,9152,27279,62,39,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),52,384,9624,26223,89,39,4,True,48,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),53,63,7180,15927,83,41,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),54,1,4171,4171,64,41,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),55,37,9645,21807,97,42,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),56,22,10333,18143,51,42,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),57,216,9401,25567,82,42,4,False,15,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),58,7,7517,14183,56,42,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),59,7,11932,15095,48,43,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),60,134,9892,29263,59,44,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),61,11,10816,19983,84,46,4,True,82,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),62,290,9768,29263,83,46,4,True,44,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),65,67,12137,28351,81,54,4,True,51,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),66,17,8739,17759,82,54,4,True,82,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),67,31,10802,29903,83,57,4,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),68,35442,9333,53791,73,56,8,True,37,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),70,218,12568,47647,73,69,4,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),71,13374,9661,60831,75,31,7,False,12,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),72,32295,9511,58815,79,40,7,True,17,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),73,22,12760,21199,90,39,4,False,0,0,False,True,True,surface_shell
