channel_a,channel_b,puncta_id_a,puncta_id_b,match_mode,centroid_distance_um,voxel_overlap_fraction_min_object_pct,pixel_count_a,pixel_count_b,centroid_x_a_um,centroid_y_a_um,centroid_z_a_um,centroid_x_b_um,centroid_y_b_um,centroid_z_b_um,inside_mesh_flag_a,inside_mesh_flag_b,within_surface_threshold_flag_a,within_surface_threshold_flag_b
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),4640,4832,centroid_distance,0,,3,739,391,348,48,391,348,48,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),2812,3003,centroid_distance,0,,37,405,370,138,36,369,138,36,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3621,4562,centroid_distance,0,,319,1,402,309,43,402,309,43,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),6332,6599,centroid_distance,0,,115,417,384,278,69,385,278,69,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),5778,6128,centroid_distance,0,,48,327,364,369,60,364,369,61,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3987,4450,centroid_distance,0,,76,492,295,286,44,296,286,44,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),967,1445,centroid_distance,0,,264,44,373,129,27,373,129,27,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),2901,3636,centroid_distance,0,,40,2,380,299,36,379,299,36,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3317,4120,centroid_distance,0,,143,178,285,280,40,285,280,40,True,True,False,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3834,4437,centroid_distance,0,,86,39,365,269,43,365,269,43,True,True,False,False
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),1645,1815,centroid_distance,0,,254,492,262,333,30,262,333,30,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),1474,1393,centroid_distance,0,,10,37,346,293,26,346,293,26,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),171,148,centroid_distance,0,,22,32,295,199,15,295,199,15,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3152,3601,centroid_distance,0,,140,122,263,257,39,264,258,39,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),2220,2604,centroid_distance,0,,16,3,396,207,31,396,207,31,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),1606,1562,centroid_distance,1,,19,192,473,283,27,472,283,28,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),1934,1965,centroid_distance,1,,9,40,458,260,29,458,260,29,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),4434,5084,centroid_distance,1,,54,60,286,423,48,287,423,48,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),2310,2466,centroid_distance,1,,46,82,337,290,32,337,290,32,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),4150,4701,centroid_distance,1,,13,84,360,340,44,361,340,45,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),5409,6299,centroid_distance,1,,14354,833,375,381,64,376,381,64,True,True,True,False
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3096,3358,centroid_distance,1,,189,335,421,112,41,421,112,40,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),4120,4796,centroid_distance,1,,130,19,271,286,46,271,286,45,True,True,False,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3187,3814,centroid_distance,1,,35,14,351,294,37,352,293,38,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3500,4267,centroid_distance,1,,18,6,372,334,40,373,335,40,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3501,3994,centroid_distance,1,,15,115,377,340,39,377,340,39,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3078,3342,centroid_distance,1,,10,161,312,386,37,312,387,36,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),3708,4435,centroid_distance,1,,214,142,251,266,44,251,265,43,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),344,327,centroid_distance,1,,8,29,361,267,16,361,267,17,True,True,False,False
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),972,1284,centroid_distance,1,,136,61,365,141,25,365,141,26,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),2507,2702,centroid_distance,1,,262,712,334,297,34,333,297,34,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),5935,6014,centroid_distance,1,,46,1526,286,327,62,286,327,61,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),5167,5369,centroid_distance,1,,10,194,259,333,53,259,334,52,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3)_xMask(Channel 3 mask),1278,1192,centroid_distance,1,,43,194,473,231,26,473,232,26,True,True,True,True
