channel_a,channel_b,puncta_id_a,puncta_id_b,match_mode,centroid_distance_um,voxel_overlap_fraction_min_object_pct,pixel_count_a,pixel_count_b,mean_intensity_a,max_intensity_a,mean_intensity_b,max_intensity_b,centroid_x_a_um,centroid_y_a_um,centroid_z_a_um,centroid_x_b_um,centroid_y_b_um,centroid_z_b_um,inside_mesh_flag_a,inside_mesh_flag_b,within_surface_threshold_flag_a,within_surface_threshold_flag_b
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2715,6295,centroid_distance,0,,1,1,6687,6687,1,1,91,57,16,91,57,16,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2789,6449,centroid_distance,0,,3,5,8815,9519,1,1,51,73,16,51,73,16,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1922,4954,centroid_distance,0,,8,5,7341,9375,1,1,86,42,13,86,42,13,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1690,4549,centroid_distance,0,,9,6,6229,7591,1,1,51,80,12,51,80,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2112,5276,centroid_distance,0,,273,419,10176,40383,1,1,86,62,14,86,62,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2944,6786,centroid_distance,0,,5,7,7302,9151,1,1,65,91,17,65,91,17,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1371,3718,centroid_distance,0,,1,8,4299,4299,1,1,69,53,10,69,53,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2983,6762,centroid_distance,0,,8,34,11980,23839,1,1,62,80,18,62,80,18,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),90,200,centroid_distance,0,,4,1,5255,5983,1,1,103,48,4,103,48,4,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1397,3940,centroid_distance,0,,76,2,10450,21007,1,1,79,62,11,79,62,11,False,False,True,True
